county	/PID	d1996	c1996	b2000	g2000	b2004	k2004	etouch	income	hispanic	b00pc	b04pc	b_change	b00pc_sq	size	b00pc_e	b00pcsq_e	votes04	votes00	v_change	d96pc	gew	b2004n	k2004n	vervar	neuvar	population
Hardee	313	2926	2417	3765	2339	5047	2147	0	29693	0.3569999933242798	0.6168086528778076	0.7015568614006042	0.08474820852279663	0.3804529011249542	7194	0	0	7194	6104	1090	0.5476323962211609	1	5047	2148	1	1	26938
Hendry	314	3855	3882	4747	3240	5756	3960	0	33012	0.3959999978542328	0.5943408012390137	0.5924248695373535	-0.0019159317016601562	0.3532409965991974	9716	0	0	9716	7987	1729	0.4982551336288452	1	5756	3960	0	0	36210
Hernando	315	22039	28520	30646	32644	41847	36251	0	32963	0.05000000074505806	0.48421552777290344	0.5358268022537231	0.0516112744808197	0.23446467518806458	78098	0	0	78098	63290	14808	0.4359065592288971	1	41847	36521	1	1	130802
Highlands	316	15608	14244	20206	14167	25874	15346	0	29864	0.12099999934434891	0.5878450870513916	0.6277049779891968	0.039859890937805176	0.34556183218955994	41220	0	0	41220	34373	6847	0.5228460431098938	1	25874	15346	0	0	87366
Hillsborough	317	136621	144223	180760	169557	243816	212749	1	40987	0.18000000715255737	0.5159897804260254	0.5340225100517273	0.018032729625701904	0.26624545454978943	456565	0.51598978	0.266245455	456565	350317	106248	0.48646578192710876	4	244606	213413	1	1	998948
Holmes	318	3248	2310	5011	2177	6410	1810	0	27831	0.01899999938905239	0.6971341371536255	0.7798053622245789	0.08267122507095337	0.4859960079193115	8220	0	0	8220	7188	1032	0.5843828916549683	1	6410	1810	0	1	18546
IndianRiver	319	22709	16373	28635	19768	36744	23850	1	40063	0.06499999761581421	0.5915955901145935	0.6063966751098633	0.014801084995269775	0.3499853312969208	60594	0.59159559	0.349985331	60594	48403	12191	0.5810603499412537	1	36869	23932	1	1	112947
Jackson	320	7187	6665	9138	6868	12092	7529	0	29700	0.028999999165534973	0.5709109306335449	0.6162784695625305	0.045367538928985596	0.3259392976760864	19621	0	0	19621	16006	3615	0.5188420414924622	1	12115	7552	1	1	46755
Jefferson	321	1851	2543	2478	3041	3298	4133	0	32924	0.02199999988079071	0.44899436831474304	0.4438164532184601	-0.005177915096282959	0.2015959471464157	7431	0	0	7431	5519	1912	0.42125624418258667	1	3298	4134	1	1	12902
Lafayette	322	1166	829	1670	789	2460	845	0	30008	0.09099999815225601	0.6791378855705261	0.7443267703056335	0.06518888473510742	0.46122828125953674	3305	0	0	3305	2459	846	0.5844611525535583	1	2460	845	0	1	7022
Lake	323	35089	29750	50010	36571	74382	48216	1	37354	0.0560000017285347	0.5776094198226929	0.6067146062850952	0.029105186462402344	0.3336326479911804	122598	0.57760942	0.333632648	122598	86581	36017	0.5411711931228638	2	74382	48216	0	0	210528
Lee	324	80882	65692	106141	73560	144414	94365	1	39262	0.0949999988079071	0.5906533598899841	0.6048019528388977	0.014148592948913574	0.3488713800907135	238779	0.59065336	0.34887138	238779	179701	59078	0.5518168210983276	3	144414	94365	0	1	440888
Leon	325	33914	50058	39062	61427	47902	79591	0	38791	0.03500000014901161	0.3887191712856293	0.37572258710861206	-0.012996584177017212	0.15110258758068085	127493	0	0	127493	100489	27004	0.4038727283477783	2	51594	83830	1	0	239452
Levy	326	4299	4938	6858	5398	10406	6072	0	27724	0.039000000804662704	0.5595626831054688	0.6315087080001831	0.07194602489471436	0.3131104111671448	16478	0	0	16478	12256	4222	0.46541085839271545	1	10408	6073	1	1	34450
Liberty	327	913	868	1317	1017	1927	1070	0	29274	0.04500000178813934	0.5642673373222351	0.6429762840270996	0.0787089467048645	0.3183976411819458	2997	0	0	2997	2334	663	0.5126333236694336	1	1927	1070	0	1	7021
Madison	328	2195	2791	3038	3014	4195	4048	0	26987	0.03200000151991844	0.5019828081130981	0.5089166760444641	0.006933867931365967	0.2519867420196533	8243	0	0	8243	6052	2191	0.44023266434669495	1	4196	4048	1	1	18733
Manatee	329	44059	41835	57952	49177	81272	61228	0	38732	0.09300000220537186	0.5409553050994873	0.5703298449516296	0.029374539852142334	0.2926326394081116	142500	0	0	142500	107129	35371	0.5129461884498596	2	81272	61228	0	1	264002
Marion	330	41397	37033	55141	44665	81267	57255	0	32532	0.05999999865889549	0.5524818301200867	0.5866721272468567	0.03419029712677002	0.30523616075515747	138522	0	0	138522	99806	38716	0.5278210043907166	2	81267	57255	0	1	258916
Martin	331	28516	20851	33970	26620	41458	30188	1	43625	0.07500000298023224	0.560653567314148	0.5786505937576294	0.017997026443481445	0.31433242559432983	71646	0.560653567	0.314332426	71646	60590	11056	0.5776328444480896	1	41350	30197	1	1	126713
MiamiDade	332	209634	317378	289533	328808	329339	385023	1	33228	0.5730000138282776	0.4682416319847107	0.4610253572463989	-0.007216274738311768	0.21925023198127747	714362	0.468241632	0.219250232	714362	618341	96021	0.3977784216403961	1	358613	406099	1	1	2253362
Monroe	333	12021	15219	16059	16483	19457	19646	0	42447	0.15800000727176666	0.49348533153533936	0.4975832998752594	0.004097968339920044	0.24352777004241943	39103	0	0	39103	32542	6561	0.44129955768585205	1	19462	19649	1	1	79589
Nassau	334	12134	7276	16404	6952	23726	8543	1	46814	0.014999999664723873	0.7023462653160095	0.7352567315101624	0.03291046619415283	0.4932902753353119	32269	0.702346265	0.493290275	32269	23356	8913	0.6251416802406311	1	23732	8545	1	0	57663
Okaloosa	335	40631	16434	52093	16948	69320	19276	0	41706	0.0430000014603138	0.7545226812362671	0.7824280858039856	0.027905404567718506	0.5693044662475586	88596	0	0	88596	69041	19555	0.7120125889778137	1	69654	19358	1	1	170498
Okeechobee	337	3415	4824	5057	4588	6975	5150	0	29896	0.1860000044107437	0.5243130922317505	0.5752577185630798	0.050944626331329346	0.2749042212963104	12125	0	0	12125	9645	2480	0.41449204087257385	1	6987	5151	1	0	35910
Orange	338	106026	105513	134517	140220	191389	192030	0	42656	0.18799999356269836	0.48962098360061646	0.4991641044616699	0.009543120861053467	0.23972870409488678	383419	0	0	383419	274737	108682	0.5012125372886658	4	192390	193217	1	1	896344
Osceola	339	18335	21870	26212	28181	42901	38430	0	38309	0.2939999997615814	0.48190024495124817	0.5274864435195923	0.045586198568344116	0.2322278469800949	81331	0	0	81331	54393	26938	0.45603781938552856	1	43108	38617	1	1	172493
PalmBeachCounty	340	133762	230621	152951	269732	210580	325808	1	42008	0.12399999797344208	0.36185747385025024	0.39258894324302673	0.03073146939277649	0.13094082474708557	536388	0.361857474	0.130940825	536388	422683	113705	0.3670917749404907	1	211894	327698	1	1	1131184
Pasco	341	48346	66472	68582	69564	103195	84729	1	34233	0.05700000002980232	0.49644577503204346	0.5491315722465515	0.05268579721450806	0.24645841121673584	187924	0.496445775	0.246458411	187924	138146	49778	0.42106637358665466	2	103198	84731	1	0	344765
Pinellas	342	152125	184728	184825	200630	225534	225254	1	37179	0.04600000008940697	0.4794982671737671	0.5003105401992798	0.020812273025512695	0.22991858422756195	450788	0.479498267	0.229918584	450788	385455	65333	0.45160648226737976	4	225627	225367	1	1	921482
Polk	343	67943	66735	90295	75200	123457	85923	0	35438	0.0949999988079071	0.5456055998802185	0.5896313190460205	0.044025719165802	0.2976854741573334	209380	0	0	209380	165495	43885	0.5044847726821899	3	123532	85983	1	0	483924
Putnam	344	9781	12008	13447	12102	18303	12407	0	27839	0.05900000035762787	0.5263219475746155	0.595994770526886	0.06967282295227051	0.2770147919654846	30710	0	0	30710	25549	5161	0.44889622926712036	1	18305	12409	1	0	70423
StJohns	345	27311	16713	39546	19502	58802	26215	0	52244	0.026000000536441803	0.6697263121604919	0.6916499137878418	0.021923601627349854	0.4485333263874054	85017	0	0	85017	59048	25969	0.6203661561012268	1	59178	26389	1	0	123135
StLucie	346	28892	36168	34705	41559	47575	51816	1	36172	0.0820000022649765	0.45506399869918823	0.4786650836467743	0.02360108494758606	0.20708324015140533	99391	0.455063999	0.20708324	99391	76264	23127	0.4440823793411255	1	47575	51816	0	0	192695
SantaRosa	347	26244	10923	36274	12802	51952	14635	0	42626	0.02500000037252903	0.7391393184661865	0.7802123427391052	0.0410730242729187	0.5463269352912903	66587	0	0	66587	49076	17511	0.7061102390289307	1	51988	14637	1	1	117743
Sarasota	348	69198	63648	83100	72853	104446	88225	0	42265	0.0430000014603138	0.532852828502655	0.5420950651168823	0.009242236614227295	0.2839321494102478	192671	0	0	192671	155953	36718	0.5208888649940491	2	104630	88382	1	1	325957
Seminole	349	59778	45051	75677	59174	108126	76938	0	50122	0.1120000034570694	0.5611897706985474	0.5842627286911011	0.02307295799255371	0.3149339556694031	185064	0	0	185064	134851	50213	0.5702429413795471	2	108126	76938	0	0	365196
Sumter	350	5960	7014	12127	9637	19794	11583	1	31730	0.06300000101327896	0.55720454454422	0.630844235420227	0.07363969087600708	0.3104768991470337	31377	0.557204545	0.310476899	31377	21764	9613	0.45938029885292053	1	19795	11584	1	1	53345
Suwanee	351	5742	4479	8006	4075	11153	4521	0	30044	0.04899999871850014	0.6626935005187988	0.7115605473518372	0.04886704683303833	0.4391626715660095	15674	0	0	15674	12081	3593	0.561784565448761	1	11153	4521	0	0	34844
Taylor	352	3188	3583	4056	2649	5466	3049	0	30702	0.014999999664723873	0.6049216985702515	0.6419259905815125	0.037004292011260986	0.3659302592277527	8515	0	0	8515	6705	1810	0.4708314836025238	1	5466	3049	0	1	19256
Union	353	1636	1388	2332	1407	3396	1251	0	33779	0.03500000014901161	0.6236961483955383	0.7307940721511841	0.10709792375564575	0.3889968991279602	4647	0	0	4647	3739	908	0.5410053133964539	1	3396	1251	0	1	13442
Volusia	354	63067	78905	82357	97304	111263	114986	0	35278	0.06599999964237213	0.45840221643447876	0.4917723536491394	0.033370137214660645	0.21013259887695312	226249	0	0	226249	179661	46588	0.4442214071750641	3	111544	115319	1	1	443343
Wakulla	355	2931	3054	4512	3838	6777	4896	0	37761	0.01899999938905239	0.5403592586517334	0.5805705189704895	0.040211260318756104	0.2919881343841553	11673	0	0	11673	8350	3323	0.4897243082523346	1	6777	4896	0	1	22863
Walton	356	7706	5341	12182	5642	17526	6205	0	32368	0.02199999988079071	0.6834604740142822	0.7385276556015015	0.05506718158721924	0.4671182334423065	23731	0	0	23731	17824	5907	0.5906338691711426	1	17553	6213	1	1	40601
Washington	357	3522	2992	4994	2798	7367	2911	0	28503	0.023000000044703484	0.6409137845039368	0.7167736887931824	0.0758599042892456	0.4107704758644104	10278	0	0	10278	7792	2486	0.5406816005706787	1	7368	2912	1	0	20973
